term,source,definition,langue,auto_definition,definition_finale,valide_auto,definition_finale_corrigée
définir image,abstract,,fr,,,non,"Définir image est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
définir image qu,abstract,,fr,,,non,"Définir image qu est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
délai initialisation,abstract,,fr,,,non,"Délai initialisation est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
délai initialisation ont,abstract,,fr,,,non,"Délai initialisation ont est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
démontrent aussi,abstract,,fr,"Les résultats démontrent aussi bien en anglais qu'en français, une tendance aux spécifications sémantiques et aux erreurs de traduction qui ont des répercussions sur le sens macrotextuel des contes.","Démontrent aussi refers to Les résultats démontrent aussi bien en anglais qu'en français, une tendance aux spécifications sémantiques et aux erreurs de traduction qui ont des répercussions sur le sens macrotextuel des contes.",oui,"Démontrent aussi refers to Les résultats démontrent aussi bien en anglais qu'en français, une tendance aux spécifications sémantiques et aux erreurs de traduction qui ont des répercussions sur le sens macrotextuel des contes."
démontrent aussi bien,abstract,,fr,"Les résultats démontrent aussi bien en anglais qu'en français, une tendance aux spécifications sémantiques et aux erreurs de traduction qui ont des répercussions sur le sens macrotextuel des contes.","Démontrent aussi bien refers to Les résultats démontrent aussi bien en anglais qu'en français, une tendance aux spécifications sémantiques et aux erreurs de traduction qui ont des répercussions sur le sens macrotextuel des contes.",oui,"Démontrent aussi bien refers to Les résultats démontrent aussi bien en anglais qu'en français, une tendance aux spécifications sémantiques et aux erreurs de traduction qui ont des répercussions sur le sens macrotextuel des contes."
déterminer quels,abstract,,fr,"Nous cherchons à décrire les régularités et les différences dans la manière dont des apprenants et des locuteurs natifs d’anglais réalisent la focalisation, dans le but de déterminer quels mouvements tonals sont privilégiés par chaque groupe de locuteurs, et de comprendre la façon dont ils réalisent la focalisation au niveau suprasegmental","Déterminer quels refers to Nous cherchons à décrire les régularités et les différences dans la manière dont des apprenants et des locuteurs natifs d’anglais réalisent la focalisation, dans le but de déterminer quels mouvements tonals sont privilégiés par chaque groupe de locuteurs, et de comprendre la façon dont ils réalisent la focalisation au niveau suprasegmental.",oui,"Déterminer quels refers to Nous cherchons à décrire les régularités et les différences dans la manière dont des apprenants et des locuteurs natifs d’anglais réalisent la focalisation, dans le but de déterminer quels mouvements tonals sont privilégiés par chaque groupe de locuteurs, et de comprendre la façon dont ils réalisent la focalisation au niveau suprasegmental."
déterminer quels mouvements,abstract,,fr,"Nous cherchons à décrire les régularités et les différences dans la manière dont des apprenants et des locuteurs natifs d’anglais réalisent la focalisation, dans le but de déterminer quels mouvements tonals sont privilégiés par chaque groupe de locuteurs, et de comprendre la façon dont ils réalisent la focalisation au niveau suprasegmental","Déterminer quels mouvements refers to Nous cherchons à décrire les régularités et les différences dans la manière dont des apprenants et des locuteurs natifs d’anglais réalisent la focalisation, dans le but de déterminer quels mouvements tonals sont privilégiés par chaque groupe de locuteurs, et de comprendre la façon dont ils réalisent la focalisation au niveau suprasegmental.",oui,"Déterminer quels mouvements refers to Nous cherchons à décrire les régularités et les différences dans la manière dont des apprenants et des locuteurs natifs d’anglais réalisent la focalisation, dans le but de déterminer quels mouvements tonals sont privilégiés par chaque groupe de locuteurs, et de comprendre la façon dont ils réalisent la focalisation au niveau suprasegmental."
développementales cette,abstract,,fr,,,non,"Développementales cette est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
développementales cette partie,abstract,,fr,,,non,"Développementales cette partie est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
développementales communes,abstract,,fr,"Les résultats montrent des traces de l’influence de leurs langues maternelles respectives à un niveau phonétique et phonologique, ainsi que des caractéristiques développementales communes aux deux groupes de locuteurs","Développementales communes refers to Les résultats montrent des traces de l’influence de leurs langues maternelles respectives à un niveau phonétique et phonologique, ainsi que des caractéristiques développementales communes aux deux groupes de locuteurs.",oui,"Développementales communes refers to Les résultats montrent des traces de l’influence de leurs langues maternelles respectives à un niveau phonétique et phonologique, ainsi que des caractéristiques développementales communes aux deux groupes de locuteurs."
développementales communes aux,abstract,,fr,"Les résultats montrent des traces de l’influence de leurs langues maternelles respectives à un niveau phonétique et phonologique, ainsi que des caractéristiques développementales communes aux deux groupes de locuteurs","Développementales communes aux refers to Les résultats montrent des traces de l’influence de leurs langues maternelles respectives à un niveau phonétique et phonologique, ainsi que des caractéristiques développementales communes aux deux groupes de locuteurs.",oui,"Développementales communes aux refers to Les résultats montrent des traces de l’influence de leurs langues maternelles respectives à un niveau phonétique et phonologique, ainsi que des caractéristiques développementales communes aux deux groupes de locuteurs."
easier l1,abstract,,fr,,,non,"Easier l1 est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
easier l1 spanish,abstract,,en,,,non,"Easier l1 spanish is a concept used in the fields of linguistics, translation, or education."
efectividad la,abstract,,es,,,non,"Efectividad la es un concepto utilizado en los campos de la lingüística, la traducción o la enseñanza."
efectividad la aplicación,abstract,,es,,,non,"Efectividad la aplicación es un concepto utilizado en los campos de la lingüística, la traducción o la enseñanza."
effective corpus,abstract,,en,The architecture supports query apis compatible with r packages and other tools which will facilitate the generation of linguistically enriched datasets for a more effective corpus-based study of language acquisition.,Effective corpus refers to The architecture supports query apis compatible with r packages and other tools which will facilitate the generation of linguistically enriched datasets for a more effective corpus-based study of language acquisition.,oui,Effective corpus refers to The architecture supports query apis compatible with r packages and other tools which will facilitate the generation of linguistically enriched datasets for a more effective corpus-based study of language acquisition.
effective corpus based,abstract,,en,,,non,"Effective corpus based is a concept used in the fields of linguistics, translation, or education."
effectivement mieux,abstract,,fr,Nos prédictions ne sont que partiellement confirmées par les résultats obtenus : les apprenants francophones natifs (dont la l1 présente /s/ et /z/ en qualité de phonèmes en position finale) réussissent effectivement mieux à reproduire les schémas de périodicité,Effectivement mieux refers to Nos prédictions ne sont que partiellement confirmées par les résultats obtenus : les apprenants francophones natifs (dont la l1 présente /s/ et /z/ en qualité de phonèmes en position finale) réussissent effectivement mieux à reproduire les schémas de périodicité.,oui,Effectivement mieux refers to Nos prédictions ne sont que partiellement confirmées par les résultats obtenus : les apprenants francophones natifs (dont la l1 présente /s/ et /z/ en qualité de phonèmes en position finale) réussissent effectivement mieux à reproduire les schémas de périodicité.
effectivement mieux reproduire,abstract,,fr,,,non,"Effectivement mieux reproduire est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
effectiveness rigurous,abstract,,fr,,,non,"Effectiveness rigurous est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
effectiveness rigurous method,abstract,,en,,,non,"Effectiveness rigurous method is a concept used in the fields of linguistics, translation, or education."
effects regular,abstract,,fr,,,non,"Effects regular est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
effects regular irregular,abstract,,fr,,,non,"Effects regular irregular est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
efficacité système,abstract,,fr,,,non,"Efficacité système est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
efficacité système comparaison,abstract,,fr,,,non,"Efficacité système comparaison est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
el análisis,abstract,,es,El análisis cuantitativo de los datos deja traslucir que existe una relación entre una planificación estricta y el sentimiento de placer de los estudiantes durante el aprendizaje.,El análisis refers to El análisis cuantitativo de los datos deja traslucir que existe una relación entre una planificación estricta y el sentimiento de placer de los estudiantes durante el aprendizaje.,oui,El análisis refers to El análisis cuantitativo de los datos deja traslucir que existe una relación entre una planificación estricta y el sentimiento de placer de los estudiantes durante el aprendizaje.
el análisis cuantitativo,abstract,,es,El análisis cuantitativo de los datos deja traslucir que existe una relación entre una planificación estricta y el sentimiento de placer de los estudiantes durante el aprendizaje.,El análisis cuantitativo refers to El análisis cuantitativo de los datos deja traslucir que existe una relación entre una planificación estricta y el sentimiento de placer de los estudiantes durante el aprendizaje.,oui,El análisis cuantitativo refers to El análisis cuantitativo de los datos deja traslucir que existe una relación entre una planificación estricta y el sentimiento de placer de los estudiantes durante el aprendizaje.
el aprendizaje,abstract,,es,El análisis cuantitativo de los datos deja traslucir que existe una relación entre una planificación estricta y el sentimiento de placer de los estudiantes durante el aprendizaje.,El aprendizaje refers to El análisis cuantitativo de los datos deja traslucir que existe una relación entre una planificación estricta y el sentimiento de placer de los estudiantes durante el aprendizaje.,oui,El aprendizaje refers to El análisis cuantitativo de los datos deja traslucir que existe una relación entre una planificación estricta y el sentimiento de placer de los estudiantes durante el aprendizaje.
el modelo,abstract,,es,"Para ello, se sigue el modelo para análisis de traducciones literarias propuesto por van leuven-zwart, con la finalidad de evaluar la efectividad de la aplicación de un sistema de comparación riguroso como éste en textos surrealistas","El modelo refers to Para ello, se sigue el modelo para análisis de traducciones literarias propuesto por van leuven-zwart, con la finalidad de evaluar la efectividad de la aplicación de un sistema de comparación riguroso como éste en textos surrealistas.",oui,"El modelo refers to Para ello, se sigue el modelo para análisis de traducciones literarias propuesto por van leuven-zwart, con la finalidad de evaluar la efectividad de la aplicación de un sistema de comparación riguroso como éste en textos surrealistas."
el modelo para,abstract,,es,"Para ello, se sigue el modelo para análisis de traducciones literarias propuesto por van leuven-zwart, con la finalidad de evaluar la efectividad de la aplicación de un sistema de comparación riguroso como éste en textos surrealistas","El modelo para refers to Para ello, se sigue el modelo para análisis de traducciones literarias propuesto por van leuven-zwart, con la finalidad de evaluar la efectividad de la aplicación de un sistema de comparación riguroso como éste en textos surrealistas.",oui,"El modelo para refers to Para ello, se sigue el modelo para análisis de traducciones literarias propuesto por van leuven-zwart, con la finalidad de evaluar la efectividad de la aplicación de un sistema de comparación riguroso como éste en textos surrealistas."
el placer,abstract,,es,The quantitative analysis of the data shows that there seems to be a relationship between strict planning and the students' feeling of pleasure during el presente artículo examina cómo la didáctica y las estrategias pedagógicas pueden provocar en los estudiantes el placer de aprender después de haber seguido varias sesiones de clase,El placer refers to The quantitative analysis of the data shows that there seems to be a relationship between strict planning and the students' feeling of pleasure during el presente artículo examina cómo la didáctica y las estrategias pedagógicas pueden provocar en los estudiantes el placer de aprender después de haber seguido varias sesiones de clase.,oui,El placer refers to The quantitative analysis of the data shows that there seems to be a relationship between strict planning and the students' feeling of pleasure during el presente artículo examina cómo la didáctica y las estrategias pedagógicas pueden provocar en los estudiantes el placer de aprender después de haber seguido varias sesiones de clase.
el placer aprender,abstract,,es,,,non,"El placer aprender es un concepto utilizado en los campos de la lingüística, la traducción o la enseñanza."
el presente,abstract,,es,En el presente estudio se muestran los resultados de un análisis comparativo de las traducciones al inglés y al francés de dos cuentos de la obra historias de cronopios y de famas del escritor argentino julio cortázar,El presente refers to En el presente estudio se muestran los resultados de un análisis comparativo de las traducciones al inglés y al francés de dos cuentos de la obra historias de cronopios y de famas del escritor argentino julio cortázar.,oui,El presente refers to En el presente estudio se muestran los resultados de un análisis comparativo de las traducciones al inglés y al francés de dos cuentos de la obra historias de cronopios y de famas del escritor argentino julio cortázar.
el presente artículo,abstract,,es,The quantitative analysis of the data shows that there seems to be a relationship between strict planning and the students' feeling of pleasure during el presente artículo examina cómo la didáctica y las estrategias pedagógicas pueden provocar en los estudiantes el placer de aprender después de haber seguido varias sesiones de clase,El presente artículo refers to The quantitative analysis of the data shows that there seems to be a relationship between strict planning and the students' feeling of pleasure during el presente artículo examina cómo la didáctica y las estrategias pedagógicas pueden provocar en los estudiantes el placer de aprender después de haber seguido varias sesiones de clase.,oui,El presente artículo refers to The quantitative analysis of the data shows that there seems to be a relationship between strict planning and the students' feeling of pleasure during el presente artículo examina cómo la didáctica y las estrategias pedagógicas pueden provocar en los estudiantes el placer de aprender después de haber seguido varias sesiones de clase.
el presente estudio,abstract,,es,En el presente estudio se muestran los resultados de un análisis comparativo de las traducciones al inglés y al francés de dos cuentos de la obra historias de cronopios y de famas del escritor argentino julio cortázar,El presente estudio refers to En el presente estudio se muestran los resultados de un análisis comparativo de las traducciones al inglés y al francés de dos cuentos de la obra historias de cronopios y de famas del escritor argentino julio cortázar.,oui,El presente estudio refers to En el presente estudio se muestran los resultados de un análisis comparativo de las traducciones al inglés y al francés de dos cuentos de la obra historias de cronopios y de famas del escritor argentino julio cortázar.
el profesor,abstract,,es,"El término de placer no está relacionado con el rendimiento académico de los estudiantes, sino con la satisfacción que muestran éstos frente a la enseñanza y a las estrategias utilizadas por el profesor","El profesor refers to El término de placer no está relacionado con el rendimiento académico de los estudiantes, sino con la satisfacción que muestran éstos frente a la enseñanza y a las estrategias utilizadas por el profesor.",oui,"El profesor refers to El término de placer no está relacionado con el rendimiento académico de los estudiantes, sino con la satisfacción que muestran éstos frente a la enseñanza y a las estrategias utilizadas por el profesor."
el profesor nuestra,abstract,,es,,,non,"El profesor nuestra es un concepto utilizado en los campos de la lingüística, la traducción o la enseñanza."
el rendimiento,abstract,,es,"El término de placer no está relacionado con el rendimiento académico de los estudiantes, sino con la satisfacción que muestran éstos frente a la enseñanza y a las estrategias utilizadas por el profesor","El rendimiento refers to El término de placer no está relacionado con el rendimiento académico de los estudiantes, sino con la satisfacción que muestran éstos frente a la enseñanza y a las estrategias utilizadas por el profesor.",oui,"El rendimiento refers to El término de placer no está relacionado con el rendimiento académico de los estudiantes, sino con la satisfacción que muestran éstos frente a la enseñanza y a las estrategias utilizadas por el profesor."
el rendimiento académico,abstract,,es,"El término de placer no está relacionado con el rendimiento académico de los estudiantes, sino con la satisfacción que muestran éstos frente a la enseñanza y a las estrategias utilizadas por el profesor","El rendimiento académico refers to El término de placer no está relacionado con el rendimiento académico de los estudiantes, sino con la satisfacción que muestran éstos frente a la enseñanza y a las estrategias utilizadas por el profesor.",oui,"El rendimiento académico refers to El término de placer no está relacionado con el rendimiento académico de los estudiantes, sino con la satisfacción que muestran éstos frente a la enseñanza y a las estrategias utilizadas por el profesor."
el sentimiento,abstract,,es,El análisis cuantitativo de los datos deja traslucir que existe una relación entre una planificación estricta y el sentimiento de placer de los estudiantes durante el aprendizaje.,El sentimiento refers to El análisis cuantitativo de los datos deja traslucir que existe una relación entre una planificación estricta y el sentimiento de placer de los estudiantes durante el aprendizaje.,oui,El sentimiento refers to El análisis cuantitativo de los datos deja traslucir que existe una relación entre una planificación estricta y el sentimiento de placer de los estudiantes durante el aprendizaje.
el sentimiento placer,abstract,,es,,,non,"El sentimiento placer es un concepto utilizado en los campos de la lingüística, la traducción o la enseñanza."
el significado,abstract,,es,"Los resultados evidencian, tanto en inglés como en francés, una tendencia a las especificaciones semánticas y a los errores de traducción, que repercuten en el significado macrotextual de los cuentos","El significado refers to Los resultados evidencian, tanto en inglés como en francés, una tendencia a las especificaciones semánticas y a los errores de traducción, que repercuten en el significado macrotextual de los cuentos.",oui,"El significado refers to Los resultados evidencian, tanto en inglés como en francés, una tendencia a las especificaciones semánticas y a los errores de traducción, que repercuten en el significado macrotextual de los cuentos."
el significado macrotextual,abstract,,es,"Los resultados evidencian, tanto en inglés como en francés, una tendencia a las especificaciones semánticas y a los errores de traducción, que repercuten en el significado macrotextual de los cuentos","El significado macrotextual refers to Los resultados evidencian, tanto en inglés como en francés, una tendencia a las especificaciones semánticas y a los errores de traducción, que repercuten en el significado macrotextual de los cuentos.",oui,"El significado macrotextual refers to Los resultados evidencian, tanto en inglés como en francés, una tendencia a las especificaciones semánticas y a los errores de traducción, que repercuten en el significado macrotextual de los cuentos."
el sistema,abstract,,fr,La experiencia se llevó a cabo en la enseñanza del inglés y del español como lengua extranjera en el sistema universitario en francia,El sistema refers to La experiencia se llevó a cabo en la enseñanza del inglés y del español como lengua extranjera en el sistema universitario en francia.,oui,El sistema refers to La experiencia se llevó a cabo en la enseñanza del inglés y del español como lengua extranjera en el sistema universitario en francia.
el sistema universitario,abstract,,fr,La experiencia se llevó a cabo en la enseñanza del inglés y del español como lengua extranjera en el sistema universitario en francia,El sistema universitario refers to La experiencia se llevó a cabo en la enseñanza del inglés y del español como lengua extranjera en el sistema universitario en francia.,oui,El sistema universitario refers to La experiencia se llevó a cabo en la enseñanza del inglés y del español como lengua extranjera en el sistema universitario en francia.
el término,abstract,,es,"El término de placer no está relacionado con el rendimiento académico de los estudiantes, sino con la satisfacción que muestran éstos frente a la enseñanza y a las estrategias utilizadas por el profesor","El término refers to El término de placer no está relacionado con el rendimiento académico de los estudiantes, sino con la satisfacción que muestran éstos frente a la enseñanza y a las estrategias utilizadas por el profesor.",oui,"El término refers to El término de placer no está relacionado con el rendimiento académico de los estudiantes, sino con la satisfacción que muestran éstos frente a la enseñanza y a las estrategias utilizadas por el profesor."
el término placer,abstract,,es,,,non,"El término placer es un concepto utilizado en los campos de la lingüística, la traducción o la enseñanza."
element second,abstract,,fr,,,non,"Element second est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
element second chuvash,abstract,,en,,,non,"Element second chuvash is a concept used in the fields of linguistics, translation, or education."
elementos sinsentido,abstract,,es,,,non,"Elementos sinsentido es un concepto utilizado en los campos de la lingüística, la traducción o la enseñanza."
elementos sinsentido característicos,abstract,,es,,,non,"Elementos sinsentido característicos es un concepto utilizado en los campos de la lingüística, la traducción o la enseñanza."
elements caracterize,abstract,,fr,,,non,"Elements caracterize est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
elements caracterize stories,abstract,,fr,,,non,"Elements caracterize stories est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
elle est,abstract,,fr,Cette thèse est une étude de l’interlangue prosodique des apprenants d’anglais dont la langue maternelle est le français ou l’espagnol,Elle est refers to Cette thèse est une étude de l’interlangue prosodique des apprenants d’anglais dont la langue maternelle est le français ou l’espagnol.,oui,Elle est refers to Cette thèse est une étude de l’interlangue prosodique des apprenants d’anglais dont la langue maternelle est le français ou l’espagnol.
elle est organisée,abstract,,fr,Elle est organisée en deux parties principales,Elle est organisée refers to Elle est organisée en deux parties principales.,oui,Elle est organisée refers to Elle est organisée en deux parties principales.
elles nous,abstract,,fr,"En revanche, les limites observées soulèvent non seulement des réflexions méthodologiques liées au protocole expérimental et à sa passation, mais elles nous amènent également vers une nouvelle proposition de design expérimental.","Elles nous refers to En revanche, les limites observées soulèvent non seulement des réflexions méthodologiques liées au protocole expérimental et à sa passation, mais elles nous amènent également vers une nouvelle proposition de design expérimental.",oui,"Elles nous refers to En revanche, les limites observées soulèvent non seulement des réflexions méthodologiques liées au protocole expérimental et à sa passation, mais elles nous amènent également vers une nouvelle proposition de design expérimental."
elles nous amènent,abstract,,fr,"En revanche, les limites observées soulèvent non seulement des réflexions méthodologiques liées au protocole expérimental et à sa passation, mais elles nous amènent également vers une nouvelle proposition de design expérimental.","Elles nous amènent refers to En revanche, les limites observées soulèvent non seulement des réflexions méthodologiques liées au protocole expérimental et à sa passation, mais elles nous amènent également vers une nouvelle proposition de design expérimental.",oui,"Elles nous amènent refers to En revanche, les limites observées soulèvent non seulement des réflexions méthodologiques liées au protocole expérimental et à sa passation, mais elles nous amènent également vers une nouvelle proposition de design expérimental."
ello se,abstract,,fr,,,non,"Ello se est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
ello se sigue,abstract,,fr,,,non,"Ello se sigue est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
elocution speech,abstract,,en,,,non,"Elocution speech is a concept used in the fields of linguistics, translation, or education."
elocution speech rhythm,abstract,,en,,,non,"Elocution speech rhythm is a concept used in the fields of linguistics, translation, or education."
emphasize event,abstract,,fr,,,non,"Emphasize event est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
emphasize event intensity,abstract,,en,,,non,"Emphasize event intensity is a concept used in the fields of linguistics, translation, or education."
empirical study,abstract,,fr,"The present study is a theoretical and empirical study on foreign accent and intelligibility perception (munro, 2008) of l2 english utterances produced by l1 french speakers","Empirical study refers to The present study is a theoretical and empirical study on foreign accent and intelligibility perception (munro, 2008) of l2 english utterances produced by l1 french speakers.",oui,"Empirical study refers to The present study is a theoretical and empirical study on foreign accent and intelligibility perception (munro, 2008) of l2 english utterances produced by l1 french speakers."
empirical study foreign,abstract,,en,,,non,"Empirical study foreign is a concept used in the fields of linguistics, translation, or education."
empleó cuestionario,abstract,,es,,,non,"Empleó cuestionario es un concepto utilizado en los campos de la lingüística, la traducción o la enseñanza."
empleó cuestionario papel,abstract,,es,,,non,"Empleó cuestionario papel es un concepto utilizado en los campos de la lingüística, la traducción o la enseñanza."
en anglais,abstract,,fr,"Les résultats démontrent aussi bien en anglais qu'en français, une tendance aux spécifications sémantiques et aux erreurs de traduction qui ont des répercussions sur le sens macrotextuel des contes.","En anglais refers to Les résultats démontrent aussi bien en anglais qu'en français, une tendance aux spécifications sémantiques et aux erreurs de traduction qui ont des répercussions sur le sens macrotextuel des contes.",oui,"En anglais refers to Les résultats démontrent aussi bien en anglais qu'en français, une tendance aux spécifications sémantiques et aux erreurs de traduction qui ont des répercussions sur le sens macrotextuel des contes."
en anglais l2,abstract,,fr,Cette étude examine la règle d'assimilation progressive de voisement du -s morphémique final en anglais l2,En anglais l2 refers to Cette étude examine la règle d'assimilation progressive de voisement du -s morphémique final en anglais l2.,oui,En anglais l2 refers to Cette étude examine la règle d'assimilation progressive de voisement du -s morphémique final en anglais l2.
en anglais qu,abstract,,fr,"Les résultats démontrent aussi bien en anglais qu'en français, une tendance aux spécifications sémantiques et aux erreurs de traduction qui ont des répercussions sur le sens macrotextuel des contes.","En anglais qu refers to Les résultats démontrent aussi bien en anglais qu'en français, une tendance aux spécifications sémantiques et aux erreurs de traduction qui ont des répercussions sur le sens macrotextuel des contes.",oui,"En anglais qu refers to Les résultats démontrent aussi bien en anglais qu'en français, une tendance aux spécifications sémantiques et aux erreurs de traduction qui ont des répercussions sur le sens macrotextuel des contes."
en cada,abstract,,es,Se busca además identificar las diferentes estrategias que adoptaron los traductores en cada idioma para traspasar los elementos de sinsentido característicos de estos cuentos,En cada refers to Se busca además identificar las diferentes estrategias que adoptaron los traductores en cada idioma para traspasar los elementos de sinsentido característicos de estos cuentos.,oui,En cada refers to Se busca además identificar las diferentes estrategias que adoptaron los traductores en cada idioma para traspasar los elementos de sinsentido característicos de estos cuentos.
en cada idioma,abstract,,es,Se busca además identificar las diferentes estrategias que adoptaron los traductores en cada idioma para traspasar los elementos de sinsentido característicos de estos cuentos,En cada idioma refers to Se busca además identificar las diferentes estrategias que adoptaron los traductores en cada idioma para traspasar los elementos de sinsentido característicos de estos cuentos.,oui,En cada idioma refers to Se busca además identificar las diferentes estrategias que adoptaron los traductores en cada idioma para traspasar los elementos de sinsentido característicos de estos cuentos.
en compte,abstract,,fr,"Cela pourrait avoir des répercussions sur les modèles d’acquisition de la phonologie des langues secondes, car ces modèles ne prennent actuellement pas en compte une interaction entre les sons d’une l2 et leur statut morphologique.","En compte refers to Cela pourrait avoir des répercussions sur les modèles d’acquisition de la phonologie des langues secondes, car ces modèles ne prennent actuellement pas en compte une interaction entre les sons d’une l2 et leur statut morphologique.",oui,"En compte refers to Cela pourrait avoir des répercussions sur les modèles d’acquisition de la phonologie des langues secondes, car ces modèles ne prennent actuellement pas en compte une interaction entre les sons d’une l2 et leur statut morphologique."
en compte une,abstract,,fr,"Cela pourrait avoir des répercussions sur les modèles d’acquisition de la phonologie des langues secondes, car ces modèles ne prennent actuellement pas en compte une interaction entre les sons d’une l2 et leur statut morphologique.","En compte une refers to Cela pourrait avoir des répercussions sur les modèles d’acquisition de la phonologie des langues secondes, car ces modèles ne prennent actuellement pas en compte une interaction entre les sons d’une l2 et leur statut morphologique.",oui,"En compte une refers to Cela pourrait avoir des répercussions sur les modèles d’acquisition de la phonologie des langues secondes, car ces modèles ne prennent actuellement pas en compte une interaction entre les sons d’une l2 et leur statut morphologique."
en cours,abstract,,fr,"En tant qu’enseignants de langues étrangères à l’université, nous constatons au quotidien que les apprenants – des futurs spécialistes en langues dans la filière de langues étrangères appliquées (lea) – évitent de parler en cours de langue et expriment des idées négatives concernant leurs capacités à communiquer à l’oral","En cours refers to En tant qu’enseignants de langues étrangères à l’université, nous constatons au quotidien que les apprenants – des futurs spécialistes en langues dans la filière de langues étrangères appliquées (lea) – évitent de parler en cours de langue et expriment des idées négatives concernant leurs capacités à communiquer à l’oral.",oui,"En cours refers to En tant qu’enseignants de langues étrangères à l’université, nous constatons au quotidien que les apprenants – des futurs spécialistes en langues dans la filière de langues étrangères appliquées (lea) – évitent de parler en cours de langue et expriment des idées négatives concernant leurs capacités à communiquer à l’oral."
en cours langue,abstract,,fr,,,non,"En cours langue est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
en cuenta,abstract,,es,"A partir de una planificación común que toma en cuenta las fases de enseñanza-aprendizaje (motivación/expectativa, comprensión/atención, generalización/transferencia), llevamos a cabo una investigación de aula para corroborar nuestra hipótesis","En cuenta refers to A partir de una planificación común que toma en cuenta las fases de enseñanza-aprendizaje (motivación/expectativa, comprensión/atención, generalización/transferencia), llevamos a cabo una investigación de aula para corroborar nuestra hipótesis.",oui,"En cuenta refers to A partir de una planificación común que toma en cuenta las fases de enseñanza-aprendizaje (motivación/expectativa, comprensión/atención, generalización/transferencia), llevamos a cabo una investigación de aula para corroborar nuestra hipótesis."
en cuenta grados,abstract,,es,,,non,"En cuenta grados es un concepto utilizado en los campos de la lingüística, la traducción o la enseñanza."
en cuenta las,abstract,,es,"A partir de una planificación común que toma en cuenta las fases de enseñanza-aprendizaje (motivación/expectativa, comprensión/atención, generalización/transferencia), llevamos a cabo una investigación de aula para corroborar nuestra hipótesis","En cuenta las refers to A partir de una planificación común que toma en cuenta las fases de enseñanza-aprendizaje (motivación/expectativa, comprensión/atención, generalización/transferencia), llevamos a cabo una investigación de aula para corroborar nuestra hipótesis.",oui,"En cuenta las refers to A partir de una planificación común que toma en cuenta las fases de enseñanza-aprendizaje (motivación/expectativa, comprensión/atención, generalización/transferencia), llevamos a cabo una investigación de aula para corroborar nuestra hipótesis."
en deux,abstract,,fr,Elle est organisée en deux parties principales,En deux refers to Elle est organisée en deux parties principales.,oui,En deux refers to Elle est organisée en deux parties principales.
en deux parties,abstract,,fr,Elle est organisée en deux parties principales,En deux parties refers to Elle est organisée en deux parties principales.,oui,En deux parties refers to Elle est organisée en deux parties principales.
en el,abstract,,es,En el presente estudio se muestran los resultados de un análisis comparativo de las traducciones al inglés y al francés de dos cuentos de la obra historias de cronopios y de famas del escritor argentino julio cortázar,En el refers to En el presente estudio se muestran los resultados de un análisis comparativo de las traducciones al inglés y al francés de dos cuentos de la obra historias de cronopios y de famas del escritor argentino julio cortázar.,oui,En el refers to En el presente estudio se muestran los resultados de un análisis comparativo de las traducciones al inglés y al francés de dos cuentos de la obra historias de cronopios y de famas del escritor argentino julio cortázar.
en el presente,abstract,,es,En el presente estudio se muestran los resultados de un análisis comparativo de las traducciones al inglés y al francés de dos cuentos de la obra historias de cronopios y de famas del escritor argentino julio cortázar,En el presente refers to En el presente estudio se muestran los resultados de un análisis comparativo de las traducciones al inglés y al francés de dos cuentos de la obra historias de cronopios y de famas del escritor argentino julio cortázar.,oui,En el presente refers to En el presente estudio se muestran los resultados de un análisis comparativo de las traducciones al inglés y al francés de dos cuentos de la obra historias de cronopios y de famas del escritor argentino julio cortázar.
en el significado,abstract,,es,"Los resultados evidencian, tanto en inglés como en francés, una tendencia a las especificaciones semánticas y a los errores de traducción, que repercuten en el significado macrotextual de los cuentos","En el significado refers to Los resultados evidencian, tanto en inglés como en francés, una tendencia a las especificaciones semánticas y a los errores de traducción, que repercuten en el significado macrotextual de los cuentos.",oui,"En el significado refers to Los resultados evidencian, tanto en inglés como en francés, una tendencia a las especificaciones semánticas y a los errores de traducción, que repercuten en el significado macrotextual de los cuentos."
