term,source,definition,langue,auto_definition,definition_finale,valide_auto
different stages teaching,abstract,,en,,"Different stages teaching is a concept used in the fields of linguistics, translation, or education.",non
differential hypothesis,abstract,,en,"Given the different distributions and status of [s] and [z] in the participants’ l1s and based on slm (speech learning model) and mdh (markedness differential hypothesis), we hypothesized that l1 french learners and l1 italian learners would find it easier than l1 spanish learners to reproduce the outcome of the voice assimilation rule, but our predictions are only partially confirmed by the results: l1 french learners (who have /s/ and /z/ in their l1 as phonemes occurring in word-final position) are indeed the most successful in producing the expected patterns of periodicity","Differential hypothesis refers to Given the different distributions and status of [s] and [z] in the participants’ l1s and based on slm (speech learning model) and mdh (markedness differential hypothesis), we hypothesized that l1 french learners and l1 italian learners would find it easier than l1 spanish learners to reproduce the outcome of the voice assimilation rule, but our predictions are only partially confirmed by the results: l1 french learners (who have /s/ and /z/ in their l1 as phonemes occurring in word-final position) are indeed the most successful in producing the expected patterns of periodicity.",oui
differential hypothesis absence,abstract,,en,,"Differential hypothesis absence is a concept used in the fields of linguistics, translation, or education.",non
differential hypothesis hypothesized,abstract,,en,,"Differential hypothesis hypothesized is a concept used in the fields of linguistics, translation, or education.",non
differential hypothesis nous,abstract,,en,,"Differential hypothesis nous is a concept used in the fields of linguistics, translation, or education.",non
differs reported,abstract,,en,,"Differs reported is a concept used in the fields of linguistics, translation, or education.",non
differs reported languages,abstract,,en,,"Differs reported languages is a concept used in the fields of linguistics, translation, or education.",non
difficulties reproducing,abstract,,fr,,"Difficulties reproducing est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
difficulties reproducing voicing,abstract,,fr,,"Difficulties reproducing voicing est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
difficulty producing,abstract,,en,,"Difficulty producing is a concept used in the fields of linguistics, translation, or education.",non
difficulty producing voiced,abstract,,en,,"Difficulty producing voiced is a concept used in the fields of linguistics, translation, or education.",non
difficultés son,abstract,,fr,,"Difficultés son est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
difficultés son acquisition,abstract,,fr,,"Difficultés son acquisition est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
différences dans,abstract,,fr,"Nous cherchons à décrire les régularités et les différences dans la manière dont des apprenants et des locuteurs natifs d’anglais réalisent la focalisation, dans le but de déterminer quels mouvements tonals sont privilégiés par chaque groupe de locuteurs, et de comprendre la façon dont ils réalisent la focalisation au niveau suprasegmental","Différences dans refers to Nous cherchons à décrire les régularités et les différences dans la manière dont des apprenants et des locuteurs natifs d’anglais réalisent la focalisation, dans le but de déterminer quels mouvements tonals sont privilégiés par chaque groupe de locuteurs, et de comprendre la façon dont ils réalisent la focalisation au niveau suprasegmental.",oui
différences dans la,abstract,,fr,"Nous cherchons à décrire les régularités et les différences dans la manière dont des apprenants et des locuteurs natifs d’anglais réalisent la focalisation, dans le but de déterminer quels mouvements tonals sont privilégiés par chaque groupe de locuteurs, et de comprendre la façon dont ils réalisent la focalisation au niveau suprasegmental","Différences dans la refers to Nous cherchons à décrire les régularités et les différences dans la manière dont des apprenants et des locuteurs natifs d’anglais réalisent la focalisation, dans le but de déterminer quels mouvements tonals sont privilégiés par chaque groupe de locuteurs, et de comprendre la façon dont ils réalisent la focalisation au niveau suprasegmental.",oui
différences voisement,abstract,,fr,,"Différences voisement est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
différences voisement concernant,abstract,,fr,,"Différences voisement concernant est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
différencier les,abstract,,fr,Les analyses des 7200 productions orales (160*45) n’ont pas permis de différencier les groupes ni de valider nos hypothèses de recherche,Différencier les refers to Les analyses des 7200 productions orales (160*45) n’ont pas permis de différencier les groupes ni de valider nos hypothèses de recherche.,oui
différencier les groupes,abstract,,fr,Les analyses des 7200 productions orales (160*45) n’ont pas permis de différencier les groupes ni de valider nos hypothèses de recherche,Différencier les groupes refers to Les analyses des 7200 productions orales (160*45) n’ont pas permis de différencier les groupes ni de valider nos hypothèses de recherche.,oui
différentes stratégies,abstract,,fr,"Par ailleurs, nous cherchons à identifier les différentes stratégies adoptées par les traducteurs de chaque langue pour transmettre les éléments du non-sens propres à ces contes","Différentes stratégies refers to Par ailleurs, nous cherchons à identifier les différentes stratégies adoptées par les traducteurs de chaque langue pour transmettre les éléments du non-sens propres à ces contes.",oui
différentes stratégies adoptées,abstract,,fr,"Par ailleurs, nous cherchons à identifier les différentes stratégies adoptées par les traducteurs de chaque langue pour transmettre les éléments du non-sens propres à ces contes","Différentes stratégies adoptées refers to Par ailleurs, nous cherchons à identifier les différentes stratégies adoptées par les traducteurs de chaque langue pour transmettre les éléments du non-sens propres à ces contes.",oui
différents aspects,abstract,,fr,"Différents aspects tels que les métriques basées sur la durée des voyelles et des consonnes, la proéminence et le délai d'initialisation ont été analysés","Différents aspects refers to Différents aspects tels que les métriques basées sur la durée des voyelles et des consonnes, la proéminence et le délai d'initialisation ont été analysés.",oui
différents aspects tels,abstract,,fr,"Différents aspects tels que les métriques basées sur la durée des voyelles et des consonnes, la proéminence et le délai d'initialisation ont été analysés","Différents aspects tels refers to Différents aspects tels que les métriques basées sur la durée des voyelles et des consonnes, la proéminence et le délai d'initialisation ont été analysés.",oui
dimension affective,abstract,,en,Nous proposons dans cet article une réflexion sur la dimension affective qui conditionne l’apprentissage de la prononciation de nos étudiants francophones d’espagnol et d’anglais en lea,Dimension affective refers to Nous proposons dans cet article une réflexion sur la dimension affective qui conditionne l’apprentissage de la prononciation de nos étudiants francophones d’espagnol et d’anglais en lea.,oui
dimension affective qui,abstract,,fr,Nous proposons dans cet article une réflexion sur la dimension affective qui conditionne l’apprentissage de la prononciation de nos étudiants francophones d’espagnol et d’anglais en lea,Dimension affective qui refers to Nous proposons dans cet article une réflexion sur la dimension affective qui conditionne l’apprentissage de la prononciation de nos étudiants francophones d’espagnol et d’anglais en lea.,oui
dire écoute,abstract,,fr,,"Dire écoute est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
dire écoute des,abstract,,fr,,"Dire écoute des est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
direct comparisons,abstract,,fr,"Despite some limitations and caveats, we argue that pillai scores and similar methods for the intrinsic evaluation of l2 pronunciation can be used, (i) to avoid direct comparisons of l2 users’ performance with native monolinguals, following recent trends in sla research; (ii) when comparable l1 data are not available; (iii) within longitudinal studies to track the progressive development of new phonological categories.","Direct comparisons refers to Despite some limitations and caveats, we argue that pillai scores and similar methods for the intrinsic evaluation of l2 pronunciation can be used, (i) to avoid direct comparisons of l2 users’ performance with native monolinguals, following recent trends in sla research; (ii) when comparable l1 data are not available; (iii) within longitudinal studies to track the progressive development of new phonological categories.",oui
direct comparisons l2,abstract,,fr,,"Direct comparisons l2 est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
discuss findings,abstract,,fr,,"Discuss findings est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
discuss findings relation,abstract,,en,,"Discuss findings relation is a concept used in the fields of linguistics, translation, or education.",non
discuss preliminary,abstract,,fr,,"Discuss preliminary est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
discuss preliminary results,abstract,,fr,,"Discuss preliminary results est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
discutons des,abstract,,fr,Nous discutons des résultats préliminaires et de la pertinence de notre approche,Discutons des refers to Nous discutons des résultats préliminaires et de la pertinence de notre approche.,oui
discutons des résultats,abstract,,fr,Nous discutons des résultats préliminaires et de la pertinence de notre approche,Discutons des résultats refers to Nous discutons des résultats préliminaires et de la pertinence de notre approche.,oui
discutons en,abstract,,fr,Nous comparons ces résultats avec notre étude précédente sur /s/ et /z/ non-morphémiques par les mêmes locuteurs et nous les discutons en relation avec la marque de ces deux sons,Discutons en refers to Nous comparons ces résultats avec notre étude précédente sur /s/ et /z/ non-morphémiques par les mêmes locuteurs et nous les discutons en relation avec la marque de ces deux sons.,oui
discutons en relation,abstract,,fr,Nous comparons ces résultats avec notre étude précédente sur /s/ et /z/ non-morphémiques par les mêmes locuteurs et nous les discutons en relation avec la marque de ces deux sons,Discutons en relation refers to Nous comparons ces résultats avec notre étude précédente sur /s/ et /z/ non-morphémiques par les mêmes locuteurs et nous les discutons en relation avec la marque de ces deux sons.,oui
disease interested,abstract,,en,,"Disease interested is a concept used in the fields of linguistics, translation, or education.",non
disease interested prosody,abstract,,en,,"Disease interested prosody is a concept used in the fields of linguistics, translation, or education.",non
disease preliminary,abstract,,fr,,"Disease preliminary est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
disease preliminary results,abstract,,en,,"Disease preliminary results is a concept used in the fields of linguistics, translation, or education.",non
disease task,abstract,,fr,,"Disease task est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
disease task consisted,abstract,,en,,"Disease task consisted is a concept used in the fields of linguistics, translation, or education.",non
displays atr,abstract,,en,,"Displays atr is a concept used in the fields of linguistics, translation, or education.",non
displays atr vowel,abstract,,fr,,"Displays atr vowel est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
distinct realisations,abstract,,en,"We assume that a greater amount of overlap within a contrast indicates assimilated categories in a learner’s production, whereas a smaller amount of overlap indicates the establishment of phonological categories and distinct realisations for members of the contrast","Distinct realisations refers to We assume that a greater amount of overlap within a contrast indicates assimilated categories in a learner’s production, whereas a smaller amount of overlap indicates the establishment of phonological categories and distinct realisations for members of the contrast.",oui
distinct realisations members,abstract,,en,,"Distinct realisations members is a concept used in the fields of linguistics, translation, or education.",non
distributions et,abstract,,fr,"En nous appuyant sur les distributions et sur le statut phonologique de [s] et [z] dans les l1 des apprenants, ainsi que sur le slm (speech learning model) et la mdh (markedness differential hypothesis), nous avons émis l'hypothèse que les locuteurs francophones et italophones natifs seraient capables de reproduire la règle d'assimilation de voisement de l'anglais plus facilement que les apprenants hispanophones natifs","Distributions et refers to En nous appuyant sur les distributions et sur le statut phonologique de [s] et [z] dans les l1 des apprenants, ainsi que sur le slm (speech learning model) et la mdh (markedness differential hypothesis), nous avons émis l'hypothèse que les locuteurs francophones et italophones natifs seraient capables de reproduire la règle d'assimilation de voisement de l'anglais plus facilement que les apprenants hispanophones natifs.",oui
distributions et sur,abstract,,fr,"En nous appuyant sur les distributions et sur le statut phonologique de [s] et [z] dans les l1 des apprenants, ainsi que sur le slm (speech learning model) et la mdh (markedness differential hypothesis), nous avons émis l'hypothèse que les locuteurs francophones et italophones natifs seraient capables de reproduire la règle d'assimilation de voisement de l'anglais plus facilement que les apprenants hispanophones natifs","Distributions et sur refers to En nous appuyant sur les distributions et sur le statut phonologique de [s] et [z] dans les l1 des apprenants, ainsi que sur le slm (speech learning model) et la mdh (markedness differential hypothesis), nous avons émis l'hypothèse que les locuteurs francophones et italophones natifs seraient capables de reproduire la règle d'assimilation de voisement de l'anglais plus facilement que les apprenants hispanophones natifs.",oui
distributions pitch,abstract,,fr,,"Distributions pitch est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
distributions pitch movement,abstract,,en,,"Distributions pitch movement is a concept used in the fields of linguistics, translation, or education.",non
distributions status,abstract,,fr,,"Distributions status est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
distributions status participants,abstract,,fr,,"Distributions status participants est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
documents corpus,abstract,,fr,,"Documents corpus est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
documents corpus language,abstract,,fr,,"Documents corpus language est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
does exist,abstract,,fr,,"Does exist est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
does exist italian,abstract,,fr,,"Does exist italian est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
dogon mali,abstract,,fr,,"Dogon mali est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
dogon mali displays,abstract,,fr,,"Dogon mali displays est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
données du,abstract,,fr,"Nous avons analysé les données du corpus ipce-ipac de productions orales d'apprenants en mesurant la périodicité de toutes les réalisations du -s morphémique et nous avons comparé trois groupes de locuteurs : 15 francophones natifs, 15 italophones natifs et 10 hispanophones natifs","Données du refers to Nous avons analysé les données du corpus ipce-ipac de productions orales d'apprenants en mesurant la périodicité de toutes les réalisations du -s morphémique et nous avons comparé trois groupes de locuteurs : 15 francophones natifs, 15 italophones natifs et 10 hispanophones natifs.",oui
données du corpus,abstract,,fr,"Nous avons analysé les données du corpus ipce-ipac de productions orales d'apprenants en mesurant la périodicité de toutes les réalisations du -s morphémique et nous avons comparé trois groupes de locuteurs : 15 francophones natifs, 15 italophones natifs et 10 hispanophones natifs","Données du corpus refers to Nous avons analysé les données du corpus ipce-ipac de productions orales d'apprenants en mesurant la périodicité de toutes les réalisations du -s morphémique et nous avons comparé trois groupes de locuteurs : 15 francophones natifs, 15 italophones natifs et 10 hispanophones natifs.",oui
dont des,abstract,,fr,"Nous cherchons à décrire les régularités et les différences dans la manière dont des apprenants et des locuteurs natifs d’anglais réalisent la focalisation, dans le but de déterminer quels mouvements tonals sont privilégiés par chaque groupe de locuteurs, et de comprendre la façon dont ils réalisent la focalisation au niveau suprasegmental","Dont des refers to Nous cherchons à décrire les régularités et les différences dans la manière dont des apprenants et des locuteurs natifs d’anglais réalisent la focalisation, dans le but de déterminer quels mouvements tonals sont privilégiés par chaque groupe de locuteurs, et de comprendre la façon dont ils réalisent la focalisation au niveau suprasegmental.",oui
dont des apprenants,abstract,,fr,"Nous cherchons à décrire les régularités et les différences dans la manière dont des apprenants et des locuteurs natifs d’anglais réalisent la focalisation, dans le but de déterminer quels mouvements tonals sont privilégiés par chaque groupe de locuteurs, et de comprendre la façon dont ils réalisent la focalisation au niveau suprasegmental","Dont des apprenants refers to Nous cherchons à décrire les régularités et les différences dans la manière dont des apprenants et des locuteurs natifs d’anglais réalisent la focalisation, dans le but de déterminer quels mouvements tonals sont privilégiés par chaque groupe de locuteurs, et de comprendre la façon dont ils réalisent la focalisation au niveau suprasegmental.",oui
dont ils,abstract,,fr,"Nous cherchons à décrire les régularités et les différences dans la manière dont des apprenants et des locuteurs natifs d’anglais réalisent la focalisation, dans le but de déterminer quels mouvements tonals sont privilégiés par chaque groupe de locuteurs, et de comprendre la façon dont ils réalisent la focalisation au niveau suprasegmental","Dont ils refers to Nous cherchons à décrire les régularités et les différences dans la manière dont des apprenants et des locuteurs natifs d’anglais réalisent la focalisation, dans le but de déterminer quels mouvements tonals sont privilégiés par chaque groupe de locuteurs, et de comprendre la façon dont ils réalisent la focalisation au niveau suprasegmental.",oui
dont ils réalisent,abstract,,fr,"Nous cherchons à décrire les régularités et les différences dans la manière dont des apprenants et des locuteurs natifs d’anglais réalisent la focalisation, dans le but de déterminer quels mouvements tonals sont privilégiés par chaque groupe de locuteurs, et de comprendre la façon dont ils réalisent la focalisation au niveau suprasegmental","Dont ils réalisent refers to Nous cherchons à décrire les régularités et les différences dans la manière dont des apprenants et des locuteurs natifs d’anglais réalisent la focalisation, dans le but de déterminer quels mouvements tonals sont privilégiés par chaque groupe de locuteurs, et de comprendre la façon dont ils réalisent la focalisation au niveau suprasegmental.",oui
dont la,abstract,,fr,Cette thèse est une étude de l’interlangue prosodique des apprenants d’anglais dont la langue maternelle est le français ou l’espagnol,Dont la refers to Cette thèse est une étude de l’interlangue prosodique des apprenants d’anglais dont la langue maternelle est le français ou l’espagnol.,oui
dont la l1,abstract,,fr,Nos prédictions ne sont que partiellement confirmées par les résultats obtenus : les apprenants francophones natifs (dont la l1 présente /s/ et /z/ en qualité de phonèmes en position finale) réussissent effectivement mieux à reproduire les schémas de périodicité,Dont la l1 refers to Nos prédictions ne sont que partiellement confirmées par les résultats obtenus : les apprenants francophones natifs (dont la l1 présente /s/ et /z/ en qualité de phonèmes en position finale) réussissent effectivement mieux à reproduire les schémas de périodicité.,oui
dont la langue,abstract,,fr,Cette thèse est une étude de l’interlangue prosodique des apprenants d’anglais dont la langue maternelle est le français ou l’espagnol,Dont la langue refers to Cette thèse est une étude de l’interlangue prosodique des apprenants d’anglais dont la langue maternelle est le français ou l’espagnol.,oui
dos cuentos,abstract,,es,En el presente estudio se muestran los resultados de un análisis comparativo de las traducciones al inglés y al francés de dos cuentos de la obra historias de cronopios y de famas del escritor argentino julio cortázar,Dos cuentos refers to En el presente estudio se muestran los resultados de un análisis comparativo de las traducciones al inglés y al francés de dos cuentos de la obra historias de cronopios y de famas del escritor argentino julio cortázar.,oui
dos cuentos la,abstract,,es,,"Dos cuentos la es un concepto utilizado en los campos de la lingüística, la traducción o la enseñanza.",non
du chili,abstract,,fr,La présente étude réalise une analyse phonétique exploratoire de la prosodie de l’interlangue (il) des apprenants d’anglais ayant l’espagnol du chili ou le français de france comme langue maternelle (l1),Du chili refers to La présente étude réalise une analyse phonétique exploratoire de la prosodie de l’interlangue (il) des apprenants d’anglais ayant l’espagnol du chili ou le français de france comme langue maternelle (l1).,oui
du chili ou,abstract,,fr,La présente étude réalise une analyse phonétique exploratoire de la prosodie de l’interlangue (il) des apprenants d’anglais ayant l’espagnol du chili ou le français de france comme langue maternelle (l1),Du chili ou refers to La présente étude réalise une analyse phonétique exploratoire de la prosodie de l’interlangue (il) des apprenants d’anglais ayant l’espagnol du chili ou le français de france comme langue maternelle (l1).,oui
du corpus,abstract,,fr,"Nous avons analysé les données du corpus ipce-ipac de productions orales d'apprenants en mesurant la périodicité de toutes les réalisations du -s morphémique et nous avons comparé trois groupes de locuteurs : 15 francophones natifs, 15 italophones natifs et 10 hispanophones natifs","Du corpus refers to Nous avons analysé les données du corpus ipce-ipac de productions orales d'apprenants en mesurant la périodicité de toutes les réalisations du -s morphémique et nous avons comparé trois groupes de locuteurs : 15 francophones natifs, 15 italophones natifs et 10 hispanophones natifs.",oui
du corpus ipce,abstract,,fr,"Nous avons analysé les données du corpus ipce-ipac de productions orales d'apprenants en mesurant la périodicité de toutes les réalisations du -s morphémique et nous avons comparé trois groupes de locuteurs : 15 francophones natifs, 15 italophones natifs et 10 hispanophones natifs","Du corpus ipce refers to Nous avons analysé les données du corpus ipce-ipac de productions orales d'apprenants en mesurant la périodicité de toutes les réalisations du -s morphémique et nous avons comparé trois groupes de locuteurs : 15 francophones natifs, 15 italophones natifs et 10 hispanophones natifs.",oui
du morphémique,abstract,,fr,,"Du morphémique est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
du morphémique et,abstract,,fr,,"Du morphémique et est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
du morphémique final,abstract,,fr,,"Du morphémique final est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
du non,abstract,,fr,"Par ailleurs, nous cherchons à identifier les différentes stratégies adoptées par les traducteurs de chaque langue pour transmettre les éléments du non-sens propres à ces contes","Du non refers to Par ailleurs, nous cherchons à identifier les différentes stratégies adoptées par les traducteurs de chaque langue pour transmettre les éléments du non-sens propres à ces contes.",oui
du non sens,abstract,,fr,,"Du non sens est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
du point,abstract,,fr,"À travers la mise en place d’un questionnaire, nous essayons de nous placer du point de vue des apprenants pour définir l’image qu’ils ont de leur prononciation ainsi que les croyances et stéréotypes qu’ils ont autour des difficultés de son acquisition, notamment en relation avec d’autres compétences linguistiques.","Du point refers to À travers la mise en place d’un questionnaire, nous essayons de nous placer du point de vue des apprenants pour définir l’image qu’ils ont de leur prononciation ainsi que les croyances et stéréotypes qu’ils ont autour des difficultés de son acquisition, notamment en relation avec d’autres compétences linguistiques.",oui
du point vue,abstract,,fr,,"Du point vue est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
du segmental,abstract,,fr,Nous présentons une réflexion méthodologique à la suite d' une expérimentation réalisée dans le cadre d’un projet interdisciplinaire où nous avons voulu tester l’impact de la gestualité corrective sur l’acquisition du segmental et du suprasegmental,Du segmental refers to Nous présentons une réflexion méthodologique à la suite d' une expérimentation réalisée dans le cadre d’un projet interdisciplinaire où nous avons voulu tester l’impact de la gestualité corrective sur l’acquisition du segmental et du suprasegmental.,oui
du segmental et,abstract,,fr,Nous présentons une réflexion méthodologique à la suite d' une expérimentation réalisée dans le cadre d’un projet interdisciplinaire où nous avons voulu tester l’impact de la gestualité corrective sur l’acquisition du segmental et du suprasegmental,Du segmental et refers to Nous présentons une réflexion méthodologique à la suite d' une expérimentation réalisée dans le cadre d’un projet interdisciplinaire où nous avons voulu tester l’impact de la gestualité corrective sur l’acquisition du segmental et du suprasegmental.,oui
du suprasegmental,abstract,,fr,Nous présentons une réflexion méthodologique à la suite d' une expérimentation réalisée dans le cadre d’un projet interdisciplinaire où nous avons voulu tester l’impact de la gestualité corrective sur l’acquisition du segmental et du suprasegmental,Du suprasegmental refers to Nous présentons une réflexion méthodologique à la suite d' une expérimentation réalisée dans le cadre d’un projet interdisciplinaire où nous avons voulu tester l’impact de la gestualité corrective sur l’acquisition du segmental et du suprasegmental.,oui
du suprasegmental pour,abstract,,fr,,"Du suprasegmental pour est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
durante el,abstract,,es,El análisis cuantitativo de los datos deja traslucir que existe una relación entre una planificación estricta y el sentimiento de placer de los estudiantes durante el aprendizaje.,Durante el refers to El análisis cuantitativo de los datos deja traslucir que existe una relación entre una planificación estricta y el sentimiento de placer de los estudiantes durante el aprendizaje.,oui
durante el aprendizaje,abstract,,es,El análisis cuantitativo de los datos deja traslucir que existe una relación entre una planificación estricta y el sentimiento de placer de los estudiantes durante el aprendizaje.,Durante el aprendizaje refers to El análisis cuantitativo de los datos deja traslucir que existe una relación entre una planificación estricta y el sentimiento de placer de los estudiantes durante el aprendizaje.,oui
duration prominence,abstract,,fr,,"Duration prominence est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
duration prominence reading,abstract,,en,,"Duration prominence reading is a concept used in the fields of linguistics, translation, or education.",non
duration relate,abstract,,fr,,"Duration relate est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
duration relate absence,abstract,,fr,,"Duration relate absence est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
duration target,abstract,,fr,,"Duration target est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
duration target segments,abstract,,fr,,"Duration target segments est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
durée aide,abstract,,fr,,"Durée aide est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
durée aide algorithme,abstract,,fr,,"Durée aide algorithme est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
durée des,abstract,,fr,"Différents aspects tels que les métriques basées sur la durée des voyelles et des consonnes, la proéminence et le délai d'initialisation ont été analysés","Durée des refers to Différents aspects tels que les métriques basées sur la durée des voyelles et des consonnes, la proéminence et le délai d'initialisation ont été analysés.",oui
durée des voyelles,abstract,,fr,"Différents aspects tels que les métriques basées sur la durée des voyelles et des consonnes, la proéminence et le délai d'initialisation ont été analysés","Durée des voyelles refers to Différents aspects tels que les métriques basées sur la durée des voyelles et des consonnes, la proéminence et le délai d'initialisation ont été analysés.",oui
dynamic database,abstract,,fr,"This paper addresses the issue of using nakala, a dynamic database technology, for the management of language corpora","Dynamic database refers to This paper addresses the issue of using nakala, a dynamic database technology, for the management of language corpora.",oui
dynamic database technology,abstract,,en,"This paper addresses the issue of using nakala, a dynamic database technology, for the management of language corpora","Dynamic database technology refers to This paper addresses the issue of using nakala, a dynamic database technology, for the management of language corpora.",oui
débouche sur,abstract,,fr,Cette partie débouche sur un cadre méthodologique pour l’analyse phonétique et pour l’interprétation phonologique de ce type de systèmes prosodiques,Débouche sur refers to Cette partie débouche sur un cadre méthodologique pour l’analyse phonétique et pour l’interprétation phonologique de ce type de systèmes prosodiques.,oui
débouche sur cadre,abstract,,fr,,"Débouche sur cadre est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
début mot,abstract,,fr,,"Début mot est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
début mot milieu,abstract,,fr,,"Début mot milieu est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
décrire les,abstract,,fr,"Nous cherchons à décrire les régularités et les différences dans la manière dont des apprenants et des locuteurs natifs d’anglais réalisent la focalisation, dans le but de déterminer quels mouvements tonals sont privilégiés par chaque groupe de locuteurs, et de comprendre la façon dont ils réalisent la focalisation au niveau suprasegmental","Décrire les refers to Nous cherchons à décrire les régularités et les différences dans la manière dont des apprenants et des locuteurs natifs d’anglais réalisent la focalisation, dans le but de déterminer quels mouvements tonals sont privilégiés par chaque groupe de locuteurs, et de comprendre la façon dont ils réalisent la focalisation au niveau suprasegmental.",oui
décrire les régularités,abstract,,fr,"Nous cherchons à décrire les régularités et les différences dans la manière dont des apprenants et des locuteurs natifs d’anglais réalisent la focalisation, dans le but de déterminer quels mouvements tonals sont privilégiés par chaque groupe de locuteurs, et de comprendre la façon dont ils réalisent la focalisation au niveau suprasegmental","Décrire les régularités refers to Nous cherchons à décrire les régularités et les différences dans la manière dont des apprenants et des locuteurs natifs d’anglais réalisent la focalisation, dans le but de déterminer quels mouvements tonals sont privilégiés par chaque groupe de locuteurs, et de comprendre la façon dont ils réalisent la focalisation au niveau suprasegmental.",oui
définir image,abstract,,fr,,"Définir image est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
définir image qu,abstract,,fr,,"Définir image qu est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
délai initialisation,abstract,,fr,,"Délai initialisation est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
délai initialisation ont,abstract,,fr,,"Délai initialisation ont est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
démontrent aussi,abstract,,fr,"Les résultats démontrent aussi bien en anglais qu'en français, une tendance aux spécifications sémantiques et aux erreurs de traduction qui ont des répercussions sur le sens macrotextuel des contes.","Démontrent aussi refers to Les résultats démontrent aussi bien en anglais qu'en français, une tendance aux spécifications sémantiques et aux erreurs de traduction qui ont des répercussions sur le sens macrotextuel des contes.",oui
démontrent aussi bien,abstract,,fr,"Les résultats démontrent aussi bien en anglais qu'en français, une tendance aux spécifications sémantiques et aux erreurs de traduction qui ont des répercussions sur le sens macrotextuel des contes.","Démontrent aussi bien refers to Les résultats démontrent aussi bien en anglais qu'en français, une tendance aux spécifications sémantiques et aux erreurs de traduction qui ont des répercussions sur le sens macrotextuel des contes.",oui
déterminer quels,abstract,,fr,"Nous cherchons à décrire les régularités et les différences dans la manière dont des apprenants et des locuteurs natifs d’anglais réalisent la focalisation, dans le but de déterminer quels mouvements tonals sont privilégiés par chaque groupe de locuteurs, et de comprendre la façon dont ils réalisent la focalisation au niveau suprasegmental","Déterminer quels refers to Nous cherchons à décrire les régularités et les différences dans la manière dont des apprenants et des locuteurs natifs d’anglais réalisent la focalisation, dans le but de déterminer quels mouvements tonals sont privilégiés par chaque groupe de locuteurs, et de comprendre la façon dont ils réalisent la focalisation au niveau suprasegmental.",oui
